,property_name,link,area,address
46,5 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-1800-sq-ft-r1-spid-C68371626,(167 sq.m.) Plot Area,"DLF Phase 2, Gurgaon, Haryana"
47,5 Bedroom House for sale in Sector 66 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-3150-sq-ft-spid-X69189504,(293 sq.m.) Plot Area,"14a, Sector 66 Gurgaon, Gurgaon, Haryana"
48,4 Bedroom House for sale in Sector 70A Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-bptp-visionnaire-sector-70-a-gurgaon-2610-sq-ft-spid-H68309874,(242 sq.m.) Plot Area,"290 Sqyd Duplex Villa, Sector 70A Gurgaon, Gurgaon, Haryana"
49,4 Bedroom House for sale in C Block Sushant Lok Phase 1,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-c-block-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-Z67860202,(180 sq.m.) Plot Area,"C Block Sushant Lok Phase 1, Gurgaon, Haryana"
50,3 Bedroom House for sale in Palam Vihar,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-1557-sq-ft-r3-spid-U64835622,(145 sq.m.) Plot Area,"Palam Vihar, Gurgaon, Haryana"
51,8 Bedroom House for sale in Palam Vihar,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-3240-sq-ft-r2-spid-Z64726172,(301 sq.m.) Plot Area,"Palam Vihar, Gurgaon, Haryana"
52,5 Bedroom House for sale in Greenwood City,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-greenwood-city-gurgaon-4500-sq-ft-spid-T68644254,(418 sq.m.) Plot Area,"0000, Greenwood City, Gurgaon, Haryana"
53,4 Bedroom House for sale in Sector 112 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-experion-windchants-sector-112-gurgaon-6382-sq-ft-r4-spid-H57070296,(593 sq.m.) Built-up Area,"Wp1- Wp-8, Sector 112 Gurgaon, Gurgaon, Haryana"
54,6 Bedroom House for sale in Uppals Southend,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-uppal-southend-uppals-southend-gurgaon-1467-sq-ft-spid-M69431990,(136 sq.m.) Plot Area,"Uppals Southend, Gurgaon, Haryana"
55,3 Bedroom House for sale in Sector 48 Gurgaon,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-2592-sq-ft-spid-F70119766,(241 sq.m.) Plot Area,"A111, Sector 48 Gurgaon, Gurgaon, Haryana"
